city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
Orangevale,34836,16843,17993,1966,2216,2126,2291,1859,4338,4627,5278,2733,2234,3029,1358,781,40.9,3034,28975,280,275,1029,96,2123,71057.0,31206,25438,10115,3492,2015
Orcutt,29908,14158,15750,1634,1953,2232,1783,1789,3001,3210,4802,2286,1675,2781,1773,989,43.1,6205,20939,467,74,1182,36,1966,72597.0,26628,22934,8590,3124,2015
Orinda,18703,9332,9371,805,1205,1494,1128,843,1017,2330,2983,1767,1400,1878,1150,703,47.1,1110,13958,374,17,2345,18,1684,165103.0,18157,16961,3961,510,2015
Orland,7488,3654,3834,757,498,685,611,570,1029,744,852,410,496,438,206,192,30.2,3835,3244,17,20,307,6,118,36267.0,6368,3816,3305,1116,2015
Orosi,8796,4274,4522,725,882,936,753,794,1118,1249,945,387,273,503,194,37,28.8,7550,309,0,0,833,0,208,34724.0,6294,1576,4982,2502,2015
Oroville,16060,7677,8383,1294,1417,893,899,1771,2182,1696,1568,980,1057,1279,707,317,32.7,2021,10432,705,194,1312,61,2670,36462.0,13259,6052,8942,1688,2015
Oxnard,203495,102774,100721,16715,16103,15467,15826,18000,32128,27569,24957,10828,7792,10465,5466,2179,30.8,151072,28239,5036,670,15462,280,5373,60621.0,158422,97512,73633,43829,2015
Pacifica,38665,18676,19989,1983,2096,2408,2257,2247,4899,5110,6318,3211,2929,3211,1359,637,41.8,7062,20592,994,85,7274,171,4814,100193.0,35990,31846,8521,2546,2015
Pacific Grove,15505,7263,8242,654,666,785,727,564,2026,1673,1948,1295,1565,1958,1008,636,48.8,1817,12117,218,39,787,3,1048,79740.0,13610,11570,4756,1549,2015
Pala,999,488,511,132,133,82,62,65,169,93,114,51,41,36,19,2,26.6,454,59,24,361,53,3,90,62813.0,739,503,273,260,2015
Palermo,5895,2863,3032,294,565,227,395,284,526,744,766,516,341,638,455,144,42.7,1430,3931,167,55,16,0,592,39366.0,4882,2850,3070,1013,2015
Palmdale,156672,77266,79406,13762,13162,14103,14140,12147,19903,20231,21785,9008,6229,7053,3733,1416,30.1,89742,35120,20517,551,6935,51,6906,52392.0,131614,76402,63882,24994,2015
Palm Desert,50565,23896,26669,2038,2512,2184,2380,2648,5116,4508,5611,3328,3900,7847,6218,2275,51.9,13065,32900,652,16,2641,32,2426,52892.0,44953,33609,22699,5439,2015
Palm Springs,46305,26321,19984,1537,1591,1731,1919,1796,4300,4773,7372,4038,4469,6883,4058,1838,52.9,11950,28427,2176,205,2358,116,2068,44075.0,38362,24763,20809,7644,2015
Palo Alto,66478,32849,33629,3248,4121,5110,3924,3046,8274,9603,10130,4324,3171,5841,3458,2228,41.1,4876,37698,1054,14,19867,62,5641,136519.0,63620,58417,12914,2408,2015
Palo Cedro,1543,746,797,131,91,129,104,23,118,212,155,186,149,116,76,53,44.2,125,1284,0,64,13,0,114,80659.0,1497,1319,362,41,2015
Palos Verdes Estates,13614,6726,6888,556,814,954,1019,397,786,1197,2407,1054,1015,1708,1203,504,49.7,677,9449,181,21,2674,9,1171,174500.0,13095,12058,3379,519,2015
Paradise,26289,12877,13412,1088,1113,1403,1262,1913,2680,2564,3206,2252,2487,3083,2015,1223,48.7,1692,23060,77,158,318,70,1828,44923.0,23254,15762,12839,2707,2015
Paradise,170,100,70,8,0,8,7,6,2,25,34,17,20,19,24,0,54.4,13,152,0,0,4,0,2,49861.0,149,143,61,21,2015
Paramount,55023,27088,27935,4118,4568,5102,5337,4632,7709,8543,6688,2777,1826,2416,885,422,29.8,44244,2762,5338,76,1600,518,938,45792.0,42078,23374,20745,12657,2015
Parlier,14870,7676,7194,1555,1685,1193,1222,1490,2346,1811,1621,623,344,617,240,123,25.7,14404,290,75,0,101,0,0,31335.0,11065,3523,8206,3805,2015
Pasadena,139899,68746,71153,8082,6272,7207,7377,9787,25461,20430,18315,8380,7717,10845,6589,3437,37.3,46838,52219,14480,112,21804,78,8249,72402.0,120023,90091,40486,18881,2015
Patterson,20967,10986,9981,2254,1865,2038,1596,1096,2934,3259,2806,868,683,1036,368,164,30.5,12191,4288,1654,323,1263,442,1547,53542.0,18016,11510,7893,2888,2015
Penngrove,2799,1432,1367,213,272,119,48,88,328,373,414,221,299,273,127,24,44.1,466,2022,99,0,25,0,374,74245.0,2630,2179,967,169,2015
Penn Valley,1843,946,897,27,65,112,63,468,0,163,214,115,273,181,162,0,50.6,134,1535,0,138,16,0,40,41487.0,1421,731,933,422,2015
Penryn,767,299,468,65,38,60,25,21,69,98,127,102,65,54,22,21,45.4,77,662,0,23,0,0,10,72063.0,742,635,182,25,2015
Perris,72547,36382,36165,6055,7410,7576,7002,6691,10261,9938,8720,3500,1692,2407,997,298,26.5,52940,7943,7969,88,2723,0,1617,49325.0,55681,27845,30173,16685,2015
Pescadero,1026,482,544,75,116,119,75,0,138,173,57,25,46,130,72,0,34.4,613,413,0,0,0,0,0,,950,359,668,76,2015
Petaluma,59340,28461,30879,3608,4339,3825,3506,2885,7299,7825,9075,4423,3971,5189,2231,1164,40.8,13020,40551,447,334,2897,15,3517,80276.0,53512,44736,15535,5373,2015
Phelan,13719,7515,6204,616,678,979,1149,1099,1312,1794,2450,1014,766,1355,444,63,40.9,3865,8605,644,0,428,58,238,52064.0,12164,7758,5345,1555,2015
Pico Rivera,63839,31107,32732,4482,4280,4351,4629,4821,9265,8411,8075,3841,3242,4503,2865,1074,35.1,57855,3251,561,283,1631,12,469,55752.0,49454,32989,20110,13955,2015
Piedmont,11099,5327,5772,446,1098,1064,626,409,627,1235,1824,1135,872,1107,402,254,45.2,491,7870,95,18,2087,9,1058,208772.0,10995,10486,1883,104,2015
Pine Grove,1578,679,899,22,28,73,51,158,18,114,158,117,224,402,159,54,62.1,123,1431,0,0,12,12,0,59375.0,1506,1134,834,72,2015
Pine Mountain Club,1774,864,910,23,61,91,228,62,198,178,351,118,74,181,149,60,47.1,120,1518,0,11,42,0,166,41765.0,1452,1116,606,322,2015
Pine Valley,1754,887,867,129,114,112,122,51,273,205,152,142,220,172,62,0,36.9,99,1539,0,42,40,0,68,100321.0,1582,1290,463,172,2015
Pinole,18922,8914,10008,912,1171,1114,815,903,3005,1816,2873,1108,1832,1840,999,534,43.5,4524,6337,2226,69,4401,0,2670,72149.0,17308,13874,6366,1594,2015
Pinon Hills,6969,3619,3350,199,336,319,416,607,409,713,1428,845,454,655,454,134,49.9,2026,4675,38,40,94,0,192,44984.0,5931,3845,2652,1038,2015
Pioneer,1090,633,457,59,60,16,63,29,82,32,139,132,185,206,41,46,57.9,153,827,5,83,0,0,44,46429.0,946,782,356,140,2015
Piru,2061,1042,1019,187,108,186,150,208,264,204,286,105,123,146,73,21,32.9,1799,250,0,3,4,0,10,47125.0,1801,1266,682,260,2015
Pismo Beach,7890,3598,4292,438,343,417,151,534,1000,662,972,740,676,1067,567,323,51.0,423,7003,121,15,137,0,382,73355.0,7299,5904,3053,579,2015
Pittsburg,66947,31997,34950,4893,5096,4462,4495,5435,10105,9402,9031,4051,3137,4000,1995,845,34.1,27306,12475,11456,133,10759,976,7414,60777.0,57163,40079,22903,9586,2015
Pixley,3584,1612,1972,357,457,535,283,333,403,510,210,135,117,188,37,19,21.9,2989,433,96,0,66,0,0,27917.0,2521,444,2153,1063,2015
Placentia,52123,25790,26333,3327,3429,3389,3599,3991,6939,7026,7389,3290,2351,4092,2204,1097,37.0,19884,21637,599,24,8628,29,2521,79598.0,45193,34947,14430,6764,2015
Placerville,10471,5035,5436,619,741,606,422,708,1353,1419,1442,527,851,874,466,443,40.4,1696,8248,40,108,93,0,572,45788.0,8890,5814,4568,1090,2015
Planada,4392,2363,2029,371,263,353,551,436,446,570,717,145,148,114,230,48,27.9,4213,141,38,0,0,0,0,35139.0,3594,1104,2729,798,2015
Pleasant Hill,34155,15998,18157,1928,1911,1660,1784,2714,4778,4695,4993,2476,2225,2819,1050,1122,39.8,4977,22127,527,86,4679,128,3239,81226.0,31744,28402,7684,2057,2015
Pleasanton,75009,36730,38279,3729,5344,6573,5806,3269,6748,10596,14235,5204,3745,5680,2955,1125,41.3,7600,42307,1274,85,20592,334,5553,124759.0,71021,65522,12683,3828,2015
Plumas Lake,6548,3349,3199,755,550,629,397,273,1387,967,684,187,304,262,111,42,31.2,1221,3991,418,30,407,10,923,79094.0,5924,5180,1362,448,2015
Plymouth,842,399,443,51,83,45,63,43,110,104,157,46,40,71,29,0,38.4,160,648,9,15,0,0,20,44844.0,724,460,323,118,2015
Point Arena,391,207,184,5,15,40,42,25,28,70,61,33,16,31,16,9,41.9,153,234,0,4,0,0,0,28365.0,332,182,179,59,2015
Point Reyes Station,600,252,348,9,29,28,0,17,14,97,57,45,26,150,83,45,60.6,58,520,0,0,22,0,0,30978.0,550,415,307,45,2015
Pollock Pines,6797,3085,3712,405,305,364,438,444,821,502,1407,710,461,577,273,90,45.8,513,5894,0,112,19,100,304,53621.0,6218,4358,2830,579,2015
Pomona,151753,74780,76973,11208,11153,10917,13312,15072,22605,20520,18560,8235,6679,7328,4255,1909,30.9,105397,19349,9680,450,13991,457,4481,49186.0,117816,68798,54694,32201,2015
Poplar-Cotton Center,2654,1418,1236,186,132,274,323,287,288,308,388,99,120,140,100,9,30.5,1834,321,0,0,452,0,94,21627.0,2279,487,1900,372,2015
Porterville,55218,27527,27691,5320,5575,4889,4526,4133,8051,6732,5858,2123,2223,3070,1781,937,29.0,36335,14840,413,146,2745,80,1302,38456.0,44774,22791,25691,9542,2015
Port Hueneme,22058,10957,11101,1776,1423,1301,1633,1945,3981,2417,2666,1331,964,1372,894,355,31.7,12147,6390,983,87,1251,153,2094,57848.0,17318,12552,6570,3577,2015
Portola,2454,1245,1209,132,150,92,227,134,284,267,397,165,171,279,100,56,43.0,492,1734,23,52,67,29,114,33098.0,1887,979,1190,532,2015
Portola Valley,4515,2242,2273,136,165,259,295,66,296,237,775,420,412,593,496,365,55.3,114,3938,15,0,287,0,322,185234.0,4402,4074,1503,77,2015
Potrero,819,431,388,10,159,154,82,0,22,172,141,15,0,29,18,17,32.5,682,137,0,0,0,0,0,27375.0,725,373,497,94,2015
Potter Valley,520,269,251,37,45,40,0,0,95,69,69,19,52,67,11,16,39.3,58,457,0,0,0,0,10,76591.0,380,263,167,140,2015
Poway,49484,24323,25161,3235,3172,3146,3834,3006,5191,6649,7358,3737,3059,4227,1897,973,40.1,9045,31929,691,261,5498,26,4060,95815.0,45697,38945,11893,3034,2015
Princeton,198,121,77,4,0,11,5,14,30,12,37,20,15,29,10,11,54.2,73,125,0,0,0,0,0,46944.0,166,92,100,32,2015
Prunedale,18932,9331,9601,1129,947,1359,1645,1422,2038,2367,3102,1454,1127,1385,701,256,39.1,9671,7590,179,24,685,114,1241,70017.0,15255,11664,5590,3655,2015
Quartz Hill,10619,5557,5062,595,658,794,887,849,1201,1147,1727,909,590,626,402,234,39.4,3695,5848,666,8,227,0,350,54245.0,8941,6759,3352,1678,2015
Quincy,1543,811,732,20,35,84,127,77,106,175,287,86,116,167,174,89,49.7,116,1337,35,11,0,0,88,45347.0,1402,929,684,84,2015
Rail Road Flat,349,181,168,15,11,10,0,0,29,28,16,30,22,145,33,10,65.2,47,276,3,0,0,0,46,32688.0,314,178,264,35,2015
Rainbow,1613,790,823,60,48,63,68,87,224,151,265,177,102,215,119,34,49.4,548,938,18,17,29,35,56,68125.0,1317,1000,613,175,2015
Raisin City,234,121,113,27,20,29,10,4,29,48,5,27,4,6,2,23,34.5,224,10,0,0,0,0,0,,214,36,193,20,2015
Ramona,21824,10772,11052,1371,1536,1464,1693,1419,2907,2475,3093,2004,1539,1142,848,333,36.6,6223,13912,402,76,387,110,1428,63623.0,17579,12559,6675,4155,2015
Rancho Cordova,68326,33260,35066,5374,4557,4811,4145,4776,11309,9596,8814,3813,3351,4273,2612,895,34.3,13632,35342,6526,238,7677,742,8011,52530.0,59470,41340,25861,8591,2015
Rancho Cucamonga,171858,86336,85522,10144,10440,12539,13521,13432,24571,24716,25295,11336,8945,10523,4526,1870,35.5,61568,67844,14559,434,21520,370,10900,77396.0,151776,126542,35773,17091,2015
Rancho Mirage,17770,8915,8855,203,464,691,442,436,539,1418,2272,1267,1450,3890,3532,1166,64.0,1486,15120,238,69,573,25,514,66086.0,16527,12328,9713,1165,2015
Rancho Murieta,5563,2721,2842,257,274,315,321,109,357,606,751,398,592,1120,317,146,51.5,383,4492,124,136,227,13,328,105049.0,5389,4988,1981,174,2015
Rancho Palos Verdes,42464,20241,22223,1412,2540,3102,2923,1428,2471,4478,7453,3071,2809,5092,3975,1710,49.5,3862,23243,1174,65,11646,312,4117,118780.0,40569,36453,11492,1842,2015
Rancho Santa Fe,2936,1396,1540,0,239,228,253,180,113,206,655,295,119,388,197,63,50.1,255,2511,0,0,100,0,140,111250.0,2619,2297,763,299,2015
Rancho Santa Margarita,49026,24293,24733,3280,3289,4079,3709,3002,5964,7104,9481,3804,1928,1906,1135,345,36.7,9198,32416,870,19,5033,89,2716,105328.0,45467,40810,7184,3546,2015
Red Bluff,14065,6406,7659,1126,1140,988,768,818,1691,2006,1823,779,561,1132,858,375,37.9,2510,10304,54,308,467,0,844,31239.0,11996,6024,7622,1749,2015
Redding,91063,44255,46808,5397,6273,5044,5902,7252,12407,9603,11101,5630,5799,8806,5313,2536,38.3,8347,72076,1329,1800,3692,138,7307,43341.0,78025,51552,39384,11949,2015
Redlands,70186,33807,36379,4742,4374,4780,5686,5508,9554,8004,8817,4707,4094,5428,2969,1523,35.6,20525,37297,4353,315,5247,403,3864,65212.0,62654,48355,21192,6955,2015
Redondo Beach,67695,33519,34176,4639,4184,3411,2855,2852,10237,12369,11504,4470,3517,4586,2134,937,40.0,11662,41602,1989,145,8373,82,7296,105145.0,62877,56543,11284,4634,2015
Redway,1031,449,582,63,0,67,97,0,112,192,97,144,127,132,0,0,44.6,146,885,0,0,0,0,0,37778.0,778,435,529,253,2015
Redwood City,81342,40576,40766,5874,5685,5057,4620,4154,13199,12711,11922,4953,3747,5654,2384,1382,36.7,31373,35329,1777,70,10007,380,4719,84934.0,71065,57248,20851,9265,2015
Redwood Valley,2372,1294,1078,77,93,158,430,81,167,400,298,505,71,14,78,0,38.0,470,1641,0,24,0,0,474,79321.0,1962,1392,735,410,2015
Reedley,25092,12443,12649,2300,2007,2034,2155,2054,3481,2910,2870,1439,1050,1313,1015,464,30.7,19174,4706,125,9,664,1,815,44228.0,19822,10601,11303,5133,2015
Rialto,102018,50540,51478,8682,8138,9341,9154,9040,14833,13695,12328,4894,3998,4854,2351,710,28.9,73824,10548,12225,173,2422,795,3612,50971.0,80884,43970,41931,20891,2015
Richgrove,2972,1527,1445,286,395,280,330,291,334,385,341,130,70,88,18,24,23.3,2785,19,0,0,143,0,50,28333.0,2208,624,1639,764,2015
Richmond,107597,52044,55553,7738,7196,6758,6153,8383,17291,15177,14146,6783,6004,7119,3448,1401,35.2,43691,19152,23517,237,15377,706,9214,55102.0,88103,58664,39243,18517,2015
Ridgecrest,28489,14603,13886,1932,2448,2215,1736,1839,3892,3527,4043,1817,1279,1897,1370,494,35.4,5246,18774,1205,156,1940,29,2278,59936.0,25164,19646,9457,2738,2015
Rio Dell,3385,1739,1646,255,191,194,118,180,537,474,491,161,221,358,138,67,41.4,334,2770,6,168,13,13,162,38400.0,2960,1579,1732,425,2015
Rio Linda,14688,7361,7327,972,1036,1037,1196,820,1747,1774,2514,1125,784,990,531,162,38.3,2661,9474,479,34,1707,9,648,52500.0,12905,9003,5483,1783,2015
Rio Oso,491,223,268,36,70,35,10,26,115,48,26,41,37,16,25,6,32.2,110,329,0,0,35,5,24,70357.0,464,335,165,27,2015
Rio Vista,7826,3758,4068,256,167,276,217,478,615,474,748,685,788,1865,1006,251,60.0,716,5646,544,0,758,18,271,62079.0,6739,5476,4068,1087,2015
Ripon,14801,6893,7908,740,1201,1244,1100,944,1624,2075,2327,852,763,1030,493,408,37.2,3279,10705,68,41,366,0,672,80734.0,13757,11592,3650,953,2015
Riverbank,23564,11440,12124,2005,1926,1913,1742,1573,3823,3396,2858,1030,990,1370,719,219,31.6,12731,9000,311,100,843,114,897,60017.0,20455,14372,7844,3035,2015
Riverdale,4081,2084,1997,472,493,336,265,401,693,390,187,249,151,270,105,69,26.7,3161,841,72,7,0,0,0,48490.0,3187,1478,1994,894,2015
Riverside,316335,156817,159518,21480,22048,22237,28129,33882,47669,39351,40183,16568,13754,17226,9770,4038,31.1,163988,100583,17461,1504,22008,863,19135,57196.0,259870,180805,98469,54029,2015
Robbins,334,217,117,36,0,15,9,21,35,17,98,30,38,28,0,7,47.9,185,107,0,0,0,10,64,27583.0,231,159,95,103,2015
Rocklin,59727,28890,30837,3261,4720,4556,5088,3349,7148,8733,9363,3809,3025,3540,2027,1108,36.8,7852,42140,1009,421,5177,23,6129,80177.0,55257,49504,12141,4147,2015
Rodeo,9724,4335,5389,613,668,473,487,873,1569,1038,1159,795,680,783,335,251,36.9,2218,3098,1240,127,2316,0,1221,64089.0,8662,6134,3588,1062,2015
Rohnert Park,41651,19221,22430,2813,1960,2026,2548,5797,6595,4684,5917,2752,2108,2381,1293,777,33.4,10035,26387,615,92,2380,106,4016,58317.0,36355,29956,10977,5174,2015
Rolling Hills,1820,893,927,32,101,144,116,66,71,154,229,166,163,309,193,76,54.6,95,1317,13,4,335,0,107,216458.0,1745,1500,584,75,2015
Rolling Hills,816,392,424,49,41,58,24,10,70,51,79,71,87,235,24,17,55.7,77,697,0,0,42,0,0,96442.0,765,654,351,36,2015
Rolling Hills Estates,8188,3997,4191,312,472,655,497,281,353,740,1565,628,519,1053,900,213,50.1,785,4418,288,26,2344,0,643,137500.0,7840,6837,2294,348,2015
Romoland,1778,911,867,79,101,189,150,253,427,180,145,140,45,35,27,7,25.7,834,905,9,0,0,0,30,,876,366,543,902,2015
Rosamond,19540,9974,9566,1656,1333,1596,1631,1766,2792,2472,2792,985,737,1192,500,88,31.7,7043,8407,2150,122,707,32,2141,58265.0,16492,11951,6483,2913,2015
Rosemead,54615,27016,27599,2629,2832,3314,3726,3585,7100,7595,8930,3929,3122,4327,2418,1108,40.5,18000,2488,85,83,33373,127,892,44906.0,43324,23560,22019,11030,2015
Roseville,126327,59713,66614,7948,8985,8820,9003,7345,16224,17635,17595,7862,6187,9844,6174,2705,38.0,18926,88180,2049,168,11763,292,9738,75867.0,115473,99908,30865,10142,2015
Ross,2306,1146,1160,163,178,247,116,76,110,253,370,166,215,205,153,54,45.5,142,2022,0,0,59,51,64,192188.0,2264,2133,475,42,2015
Rossmoor,10461,5043,5418,594,501,754,714,616,709,1110,2031,628,738,916,763,387,46.4,1061,7834,14,20,1159,17,712,114677.0,9976,8984,2459,475,2015
Rowland Heights,50440,25386,25054,2309,2416,2389,3102,3615,7298,6492,7208,3675,3795,4884,2299,958,41.2,14934,5461,407,213,28634,87,1386,59534.0,40391,28330,14874,10001,2015
Running Springs,4793,2362,2431,322,287,298,311,286,540,644,667,485,354,361,140,98,41.1,670,3814,120,46,66,0,154,60109.0,4124,3333,1193,669,2015
Rutherford,232,125,107,26,6,0,28,34,48,0,0,36,21,7,26,0,26.0,78,154,0,0,0,0,0,61442.0,181,149,59,51,2015
Sacramento,480566,233137,247429,33582,33416,29425,30672,38889,82151,62737,59903,28662,24616,31260,16726,8527,34.0,134951,160778,63305,1751,87620,7160,48378,50739.0,412968,280949,176795,63424,2015
St. Helena,5943,2831,3112,345,288,344,318,294,523,815,788,437,403,859,359,170,45.9,1676,3812,88,0,229,11,254,85083.0,5382,4327,2161,561,2015
Salida,13501,7079,6422,828,828,1498,1394,846,1957,2165,1716,726,433,890,203,17,30.6,6314,6000,161,74,670,0,548,69033.0,12169,9463,3629,1291,2015
Salinas,155366,78021,77345,14221,14209,12312,12856,11950,25439,21470,17358,6932,6429,6750,3574,1866,29.7,117861,22938,2046,320,10203,139,3567,49840.0,121000,72709,56918,32680,2015
Salton City,4782,2437,2345,378,435,407,217,381,735,625,553,239,307,359,135,11,31.8,2867,1668,80,9,0,0,316,36932.0,3365,1743,1848,1405,2015
San Andreas,2706,1459,1247,143,316,110,0,157,270,412,232,311,160,297,192,106,44.4,249,2068,72,10,61,123,246,40125.0,2236,1625,973,292,2015
San Anselmo,12566,5865,6701,349,925,1132,707,410,820,1777,2101,963,1222,1403,629,128,46.0,731,10826,88,134,370,0,805,102316.0,11901,10898,2762,637,2015
San Ardo,746,391,355,133,94,10,65,70,116,77,68,46,19,15,25,8,25.0,616,123,0,0,7,0,0,40375.0,556,223,376,190,2015
San Bernardino,214112,106071,108041,18086,18617,17713,18764,20274,32260,25319,25111,11609,8668,10568,5124,1999,28.9,132504,36694,29181,558,9372,441,10241,37047.0,165794,80092,97157,43725,2015
San Bruno,42506,21111,21395,2640,2444,2000,2090,2471,6801,6069,6957,3006,2368,2975,1936,749,39.2,12555,14343,861,38,11369,1452,3439,83888.0,38013,32520,10036,4368,2015
San Buenaventura (Ventura),108899,53315,55584,7288,6127,6690,6099,7450,14913,13854,15625,7820,6798,8243,5084,2908,39.3,36841,63325,1721,317,3789,272,5040,66995.0,94918,72992,33993,12805,2015
San Carlos,29454,14268,15186,1840,2353,1807,1404,954,2861,4598,5002,2386,1881,2349,1350,669,42.9,3247,20675,340,3,3555,161,2904,131685.0,28037,25574,5805,1394,2015
San Clemente,65017,32712,32305,3529,4256,4745,4470,3682,6159,9095,9937,5287,4210,5508,2807,1332,41.9,11957,47524,363,54,2411,393,4590,98153.0,58195,49511,15747,6244,2015
San Diego,1359791,682040,677751,86484,78247,74077,86499,125860,248857,184401,173781,77752,67262,86704,47324,22543,34.0,408714,586863,84155,3564,224337,4800,92369,66116.0,1136817,895312,353865,186775,2015
San Dimas,34073,15890,18183,1648,1704,1887,2374,2642,3800,3984,5461,1925,2526,3534,1603,985,42.5,10805,16277,971,133,4178,24,3311,78034.0,31010,25604,8732,2771,2015
San Fernando,24296,12598,11698,1610,1997,1877,1923,1825,4166,3773,2830,1183,1004,1394,444,270,32.2,22047,1397,258,58,255,186,99,55170.0,19520,11551,8725,4705,2015
San Francisco,840763,427909,412854,38123,30488,27427,31036,53917,187527,136300,114629,51611,50528,62062,38225,18890,38.5,128619,346732,44879,1520,281896,3370,63553,81294.0,765091,602198,232598,71076,2015
San Gabriel,40198,19206,20992,1943,1915,2315,2072,2678,5086,5833,6832,3034,2347,3142,2060,941,42.2,10566,4617,132,25,24328,127,742,51579.0,32776,21006,13662,7027,2015
Sanger,24700,11971,12729,2323,2298,1909,1949,1776,3385,3527,2713,976,1266,1172,948,458,31.9,20560,3361,108,93,174,0,795,43099.0,20819,12739,10354,3756,2015
San Geronimo,599,277,322,21,111,16,8,0,39,130,8,16,115,114,21,0,42.2,0,587,12,0,0,0,0,85625.0,558,416,249,41,2015
San Jacinto,45977,22480,23497,3987,3568,4086,3359,3510,5843,6574,5554,2166,2030,3284,1332,684,32.2,24070,14738,3264,334,1934,194,2847,46725.0,37638,22071,19457,8202,2015
San Joaquin,4008,1980,2028,421,503,455,382,370,463,507,450,154,124,138,26,15,22.7,3848,160,0,0,0,0,0,24437.0,3040,633,2526,968,2015
San Jose,1000860,502918,497942,67599,69452,63489,59978,69087,153071,152121,143374,60913,49272,63923,34758,13823,36.1,329648,270501,28076,1928,334883,3639,62629,84647.0,888807,682093,277744,108696,2015
San Juan Bautista,2250,1262,988,162,190,86,193,105,293,194,378,162,180,194,82,31,40.9,1310,860,0,0,35,9,72,58446.0,2007,1448,814,243,2015
San Juan Capistrano,35897,17493,18404,2275,2206,2326,2895,2087,3466,4069,5185,2798,2604,2951,1969,1066,42.2,13192,20741,15,203,1013,97,947,72472.0,29442,22178,11164,6415,2015
San Leandro,88329,43579,44750,4686,5287,5309,5037,5938,11457,12702,13999,6280,5681,6333,3398,2222,40.5,24086,21076,10372,343,28203,950,6398,62761.0,78094,58993,28043,9920,2015
San Lorenzo,24891,12239,12652,1341,1534,1439,1695,1975,3240,3118,3488,1863,1521,1973,1113,591,40.3,9255,7127,1168,29,5921,168,2353,74807.0,22599,17417,7911,2292,2015
San Lucas,384,174,210,27,43,37,27,23,53,40,59,16,26,23,10,0,31.1,349,33,0,0,0,0,4,43750.0,300,97,237,84,2015
San Luis Obispo,46337,24611,21726,1555,1650,1658,3755,14243,6476,3836,3986,2005,1849,2459,1821,1044,25.4,7582,33557,927,167,2639,15,2881,46058.0,41621,36870,9437,4456,2015
San Marcos,89578,43599,45979,6178,7643,6125,6450,6161,12353,14996,11562,4532,3645,5391,3094,1448,34.9,32632,43566,2137,112,7857,480,5534,57822.0,75242,58971,22348,13778,2015
San Marino,13353,6560,6793,744,963,956,744,673,886,1540,2233,1222,939,1283,752,418,45.9,1140,4782,130,0,6887,29,685,133676.0,12795,11481,2705,558,2015
San Martin,7170,3560,3610,335,435,417,607,493,678,669,1353,562,395,717,405,104,43.9,3181,2934,19,0,519,299,423,101645.0,6525,4872,2478,618,2015
San Mateo,101335,49988,51347,6772,6113,4795,5002,5323,15561,16656,14083,6308,5901,7139,5008,2674,39.1,26813,45838,2068,125,20752,1968,7311,90208.0,91868,75944,27332,9067,2015
San Pablo,29777,14928,14849,2009,2185,2139,2280,2657,4651,3845,4140,1730,1179,1650,953,359,32.6,16315,3043,4378,89,5049,75,1582,43868.0,23128,14638,10459,6259,2015
San Rafael,58819,29173,29646,3810,3310,3273,2994,3013,7702,8238,8634,4026,3608,5111,3185,1915,41.6,16897,33768,1511,92,4051,118,4075,77294.0,51641,39948,19969,6446,2015
San Ramon,74571,37104,37467,4647,7334,6956,5021,2616,7262,14440,12942,3904,3148,3879,1792,630,37.6,6413,31114,1571,190,30940,350,7807,128916.0,71936,67566,9038,2585,2015
Santa Ana,333268,167303,165965,27033,26482,26520,25702,30976,54287,49449,40365,15561,11366,15039,7287,3201,30.2,260721,30623,3263,341,35161,822,4348,52253.0,239222,129360,120276,90709,2015
Santa Barbara,90401,44815,45586,5467,4218,4494,5114,9529,14446,11064,10907,5839,5174,7103,3968,3078,36.7,35708,48613,1268,165,2909,84,3269,66107.0,74253,58926,25473,15697,2015
Santa Clara,121374,61538,59836,9164,7420,6194,7797,8586,23405,20296,15087,5958,5250,6620,3661,1936,34.3,22475,41703,4321,411,47933,368,8194,98914.0,111245,96337,23390,9770,2015
Santa Clarita,179950,88732,91218,10671,12475,13302,13907,12523,22666,24121,28015,12817,9421,11802,5323,2907,37.0,57955,91819,4902,323,17026,255,15015,83554.0,159099,131308,42324,20546,2015
Santa Cruz,62752,30895,31857,2486,2217,2213,8939,12456,7754,6509,6986,3989,3124,3513,1848,718,28.7,12927,40300,1105,190,5226,53,5819,62164.0,55722,46973,13891,6645,2015
Santa Fe Springs,17162,8012,9150,1109,1314,1206,1165,1306,2254,2205,2092,1087,1078,1058,849,439,35.6,13534,1752,424,66,1086,4,447,53168.0,14646,10068,5790,2441,2015
Santa Margarita,1582,687,895,157,29,97,161,45,12,303,332,158,201,76,11,0,44.6,235,1347,0,0,0,0,0,48814.0,1377,1126,262,205,2015
Santa Maria,102618,52195,50423,9494,8884,9035,8261,8887,16037,13014,11422,4489,3415,4938,3169,1573,29.4,74446,21016,791,370,5002,111,1717,50433.0,76730,42286,41739,25338,2015
Santa Monica,92169,44537,47632,4093,3313,3050,3474,6072,18178,14789,13340,5846,5194,7970,4595,2255,40.5,14173,61766,3983,33,8556,75,7082,76580.0,83366,70437,20551,7977,2015
Santa Nella,1517,889,628,182,185,157,101,9,194,185,149,177,64,78,27,9,32.4,967,314,33,0,106,0,194,28144.0,1254,436,886,263,2015
