city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
Bieber,281,135,146,15,19,12,18,54,40,43,32,5,3,17,21,2,32.0,65,207,0,0,4,0,10,68750.0,243,176,112,38,2012
Big Bear City,11628,5624,6004,759,335,737,767,937,1389,927,1712,1000,1084,1069,732,180,44.7,2441,8821,86,69,81,0,224,42957.0,8539,6266,3995,3089,2012
Big Bear Lake,5085,2369,2716,206,178,416,283,130,565,710,591,409,316,701,440,140,45.9,1001,3904,33,52,0,68,54,32869.0,3316,2277,2063,1747,2012
Biggs,1678,848,830,160,111,100,109,128,278,188,190,94,93,152,55,20,33.4,671,839,0,2,67,22,154,40250.0,1418,753,900,250,2012
Big Pine,1669,845,824,96,106,86,125,51,187,226,240,97,164,127,121,43,41.8,128,1262,0,235,24,7,26,57727.0,1353,1047,558,291,2012
Big River,1202,574,628,0,7,42,41,30,38,53,307,116,93,238,213,24,58.4,131,957,0,50,0,0,128,29063.0,872,639,564,330,2012
Bishop,3851,1850,2001,285,98,270,218,210,376,434,612,422,258,257,252,159,45.5,1272,2347,15,85,108,0,48,29568.0,3049,2124,1324,744,2012
Bloomington,25735,13095,12640,1941,2163,2672,2844,2161,3210,3503,3544,1093,945,997,499,163,28.8,21173,3213,673,124,168,54,645,46639.0,18127,10669,8583,7545,2012
Blue Lake,1445,725,720,78,141,113,46,99,228,221,206,94,104,61,34,20,36.0,77,1156,41,105,25,5,72,50329.0,1149,888,389,296,2012
Blythe,20658,14291,6367,1117,974,1203,1171,1507,3868,3482,3572,1333,892,956,478,105,36.1,10409,6601,2763,88,460,33,608,48327.0,11606,8129,4505,2189,2012
Bodega Bay,717,305,412,20,52,0,21,17,68,48,52,133,123,93,61,29,56.8,26,619,0,0,72,0,0,67328.0,708,644,206,0,2012
Bolinas,1108,540,568,22,63,50,37,34,88,209,118,160,116,161,23,27,48.3,62,959,62,0,25,0,0,54635.0,921,726,336,187,2012
Bonita,12917,6422,6495,650,582,757,858,710,1155,1794,1678,1098,1077,1288,893,377,44.8,6026,5098,500,172,922,16,366,82214.0,11003,9694,3552,1860,2012
Bonsall,3859,1894,1965,140,292,214,238,180,348,558,525,242,405,427,185,105,43.8,741,2677,98,12,227,0,208,77061.0,3478,2909,1069,381,2012
Boonville,1115,633,482,46,74,26,96,127,166,132,170,88,23,52,46,69,36.7,678,425,0,12,0,0,0,36632.0,750,446,406,362,2012
Boron,2017,909,1108,101,166,147,182,124,142,199,268,65,278,194,113,38,42.0,261,1449,263,0,25,0,38,35417.0,1798,1061,1063,212,2012
Borrego Springs,2456,1509,947,74,81,85,125,49,311,108,369,237,166,491,195,165,55.7,929,1374,0,19,134,0,0,42143.0,1985,1464,1131,471,2012
Boulder Creek,5188,2688,2500,211,248,265,292,165,453,869,977,624,359,588,124,13,46.2,284,4680,0,0,75,0,298,84297.0,4635,3887,1282,553,2012
Boulevard,249,129,120,69,0,31,0,0,72,0,30,27,0,20,0,0,32.7,4,73,0,172,0,0,0,48906.0,67,33,34,182,2012
Boyes Hot Springs,7818,3743,4075,748,757,503,399,442,1582,968,956,373,339,372,306,73,30.2,4562,2860,7,71,252,0,132,49589.0,5771,3751,2630,2047,2012
Bradbury,812,397,415,27,19,58,71,48,39,82,202,78,37,60,77,14,48.1,140,453,9,0,203,0,14,117500.0,740,637,190,72,2012
Bradley,92,44,48,1,10,4,0,2,16,18,11,10,0,17,0,3,43.2,4,65,5,0,0,0,36,59375.0,81,59,42,7,2012
Brawley,24971,12429,12542,2382,1950,2255,2569,1899,3002,2888,3688,1142,635,1361,1012,188,29.3,20367,3700,611,7,147,0,213,40075.0,21074,12100,11115,3783,2012
Brea,39384,18820,20564,2006,2668,2311,2809,2836,5049,5911,5739,2500,2562,2723,1587,683,38.9,9817,21357,344,62,7080,34,1320,82055.0,34751,30321,7960,4609,2012
Brentwood,50764,25305,25459,3659,4599,4289,4457,2232,4964,8425,7458,2284,2316,3377,2092,612,36.3,13356,28174,2908,56,3896,60,4594,88306.0,46972,41446,10577,3757,2012
Bridgeport,360,184,176,7,0,0,0,15,34,16,82,30,55,44,23,54,57.9,23,172,12,36,34,2,162,71250.0,310,275,173,19,2012
Brisbane,4266,2064,2202,240,119,203,206,258,604,596,775,540,257,323,79,66,43.1,1083,2030,10,13,953,0,354,79171.0,3787,3361,773,479,2012
Buellton,4786,2618,2168,250,368,226,231,421,545,748,742,388,412,212,202,41,40.2,1822,2512,24,120,202,0,200,68480.0,3928,3379,928,858,2012
Buena Park,80781,39064,41717,5255,5133,6017,6787,6467,10766,11514,11989,4420,3510,4817,2932,1174,35.0,30379,21992,3536,281,22284,633,3231,64205.0,64208,47286,22334,16218,2012
Burbank,103420,50151,53269,5368,5480,6302,6232,5665,16747,16727,15809,5834,5215,7025,4851,2165,38.7,26660,59836,1564,88,12018,25,6006,67693.0,88484,73226,22416,14590,2012
Burbank,5789,3211,2578,270,130,397,304,366,1304,1142,802,418,317,282,53,4,36.4,2810,1984,133,0,728,0,268,59560.0,4705,3991,983,1075,2012
Burlingame,28916,14110,14806,2062,1851,1581,1201,1231,3763,5039,4974,1710,1447,1774,1502,781,40.6,4040,17626,360,63,5699,83,2022,77661.0,26079,23921,5037,2293,2012
Burney,2737,1339,1398,114,184,115,173,161,165,309,495,225,234,413,103,46,49.5,78,2441,0,102,10,9,194,38337.0,2284,1233,1556,453,2012
Burnt Ranch,293,144,149,29,0,29,19,11,7,19,48,46,22,31,25,7,50.8,11,272,0,1,0,0,18,50938.0,260,150,173,33,2012
Buttonwillow,1349,692,657,100,162,192,126,64,178,196,162,26,62,53,22,6,27.4,988,248,70,0,0,0,86,37500.0,990,584,480,355,2012
Byron,1149,578,571,64,163,35,181,0,111,112,163,106,24,84,106,0,35.5,213,802,53,0,5,0,80,66542.0,941,872,256,109,2012
Cabazon,2121,1094,1027,218,65,315,176,12,351,170,356,209,122,55,60,12,32.6,913,1062,29,62,0,36,38,33986.0,1395,506,937,703,2012
Calabasas,23352,11177,12175,979,1864,1985,1958,805,1856,3162,4423,1902,1341,1858,945,274,42.6,1614,17849,865,57,1931,0,2072,119624.0,21934,20321,3866,1409,2012
Calexico,38193,17806,20387,3066,3294,3429,3501,3082,4327,4761,4366,2393,1782,2064,1456,672,30.8,36881,749,52,7,484,20,0,37431.0,27891,15118,14496,10264,2012
California City,13361,6572,6789,1013,1026,924,966,972,1860,1404,2177,752,753,1001,454,59,34.4,3332,7265,1990,0,376,0,736,50344.0,10859,7007,5677,1739,2012
Calimesa,7932,3907,4025,284,277,623,561,355,624,753,980,755,464,1044,1002,210,52.0,1714,5963,22,0,51,0,364,44817.0,6624,4644,3271,1302,2012
Calipatria,7532,4360,3172,541,403,578,605,773,1148,1249,746,553,232,349,205,150,31.9,6031,721,565,86,61,10,110,34961.0,5084,2853,2436,907,2012
Calistoga,5156,2674,2482,466,184,243,124,248,632,689,757,331,402,624,274,182,44.9,2220,2832,45,0,13,12,34,51967.0,3800,3060,1457,1316,2012
Calpella,580,247,333,54,39,53,87,48,50,21,88,46,70,24,0,0,30.0,122,394,45,0,19,0,0,51776.0,549,409,150,31,2012
Camarillo,64944,31630,33314,3846,4289,4554,4136,3753,7470,8648,9589,4195,3339,5175,3865,2085,40.4,16473,39038,1201,73,6032,160,3793,83892.0,57651,50662,16201,6546,2012
Cambria,6204,2976,3228,182,371,238,270,128,279,596,596,418,921,1288,621,296,60.1,1187,4871,2,0,83,0,122,69500.0,5657,4595,2880,547,2012
Cameron Park,17586,8584,9002,962,1209,1584,1053,588,1884,2287,2976,1116,1072,1565,839,451,41.2,2670,14006,65,18,393,0,868,76570.0,16197,14310,4524,1369,2012
Camino,1931,1031,900,73,137,84,115,133,184,210,307,163,160,171,183,11,46.9,26,1871,8,0,7,0,38,64219.0,1775,1496,648,156,2012
Campbell,39482,19378,20104,2542,2294,1820,2094,2437,7079,6220,6535,2321,1705,2267,1463,705,37.4,6885,23792,469,50,6207,60,3903,84692.0,35007,30794,7916,4303,2012
Campo,2753,1530,1223,277,123,73,357,229,483,142,294,321,174,204,72,4,31.5,779,1770,76,50,67,0,22,53942.0,2019,1409,850,463,2012
Camp Pendleton North,7043,4461,2582,1238,472,287,631,2978,1065,285,44,12,0,26,5,0,21.3,1622,3866,779,98,256,125,590,40516.0,3564,3428,171,0,2012
Canby,479,195,284,9,25,27,42,30,87,92,59,7,29,32,16,24,36.4,103,273,52,35,0,0,32,39531.0,295,151,144,89,2012
Cantua Creek,345,157,188,64,45,0,31,28,59,8,42,32,8,28,0,0,27.5,345,0,0,0,0,0,0,18542.0,216,11,205,129,2012
Canyon Lake,10670,5219,5451,620,817,754,589,534,1135,1348,1908,732,647,772,607,207,41.6,1572,8776,95,37,132,19,78,74133.0,9228,8131,2272,1442,2012
Capitola,9914,5051,4863,824,334,500,493,774,1315,1292,1381,910,702,525,611,253,40.9,2034,6844,278,99,284,0,750,54129.0,8139,6704,2459,1612,2012
Carlsbad,105097,52188,52909,6250,7085,6757,5978,5104,13009,15943,17115,7380,5776,7348,5105,2247,40.3,14340,79037,1022,88,7787,38,5466,83875.0,92929,83850,20476,10718,2012
Carmel Valley Village,4552,2150,2402,180,105,361,456,177,217,448,839,502,517,375,261,114,48.6,274,3952,0,0,104,0,444,82097.0,4039,3618,1134,490,2012
Carmichael,61267,29810,31457,3750,3099,3123,4126,3591,7220,7969,9546,4314,4091,5046,3311,2081,42.0,6984,45491,3219,500,2709,236,4193,53947.0,52850,41885,19870,7888,2012
Carpinteria,13100,6503,6597,708,668,753,933,995,1708,1731,1989,869,800,877,727,342,40.2,6132,6340,9,34,323,0,507,70113.0,10113,8094,3449,2983,2012
Carson,91937,44571,47366,5071,5154,6698,6908,7411,11963,12264,13941,5064,4929,7432,4018,1084,37.1,36340,6518,17700,231,23515,2584,10020,71653.0,76668,58793,25588,15173,2012
Caruthers,3361,1637,1724,340,376,231,480,486,244,358,441,189,51,143,11,11,22.6,2586,480,57,80,57,0,202,46094.0,2494,1333,1338,867,2012
Caspar,697,363,334,0,80,15,19,17,179,104,59,89,30,14,66,25,37.9,2,623,0,59,0,0,26,72885.0,609,505,209,88,2012
Castaic,18610,9441,9169,640,1435,1979,2183,1221,1537,3204,3673,1027,682,682,213,134,36.4,4775,10773,846,11,1521,35,1285,106538.0,16876,15973,1821,1734,2012
Castro Valley,60981,29767,31214,3759,3227,4204,4515,3370,6934,7813,10745,4358,4057,3767,2657,1575,41.3,9805,30504,3444,168,14184,413,4708,82656.0,54630,48586,12695,5543,2012
Castroville,6103,3122,2981,582,385,504,686,708,915,732,816,163,202,293,69,48,26.8,5664,184,0,25,172,23,70,52771.0,4408,2546,2280,1695,2012
Cathedral City,51507,25662,25845,3841,3687,4005,4343,3607,6258,6464,7322,2487,2237,4068,2448,740,35.0,30825,16693,998,150,2313,32,988,44763.0,37311,24356,18065,14178,2012
