city,enrollment,vaccinated,school_year,year,vac_pct,geoid,male_pct,female_pct,under_5_pct,5_9_pct,10_14_pct,15_19_pct,20_24_pct,25_34_pct,35_44_pct,45_54_pct,55_59_pct,60_64_pct,65_74_pct,75_84_pct,85_over_pct,median_age,hispanic_latino_pct,white_pct,black_pct,aian_pct,asian_pct,nhopi_pct,other_pct,median_income,insurance_pct,private_insure_pct,public_insure_pct,no_insurance_pct
Baker,214.0,205.0,2011-2012,2012,95.7943925233645,1600000US0603512,60.7,39.3,7.4,6.7,8.6,12.5,8.5,17.4,17.5,13.6,1.4,4.1,2.3,0.0,0.0,27.9,71.8,17.9,4.9,0.0,0.0,1.9,6.0,33068.0,70.7,15.2,55.5,29.3
Bakersfield,70077.0,68478.0,2011-2012,2012,97.71822423905134,1600000US0603526,49.5,50.5,8.9,8.5,8.2,8.6,7.9,15.1,12.9,12.5,5.0,3.8,4.8,2.7,1.1,30.0,45.2,37.4,8.0,0.6,5.9,0.1,5.4,54265.0,81.8,58.0,31.2,18.2
Baldwin Park,9622.0,9571.0,2011-2012,2012,99.46996466431095,1600000US0603666,50.0,50.0,7.1,7.1,8.6,9.6,8.7,14.4,13.5,13.2,5.6,3.8,5.1,2.4,0.9,30.5,79.6,4.7,0.8,0.1,14.1,0.1,1.2,51244.0,71.4,40.5,34.2,28.6
Ballico,71.0,70.0,2011-2012,2012,98.59154929577466,1600000US0603708,55.4,44.6,6.2,4.9,7.2,8.5,13.8,11.1,9.8,8.5,8.2,4.9,11.8,0.0,4.9,34.2,43.9,51.8,0.0,0.7,2.3,1.3,0.0,63125.0,88.5,65.9,29.8,11.5
Bangor,62.0,58.0,2011-2012,2012,93.54838709677419,1600000US0603792,45.8,54.2,2.6,4.0,11.9,7.3,1.1,7.0,8.6,22.2,8.4,6.8,11.2,3.3,5.5,48.3,0.0,91.6,0.0,3.3,2.2,0.0,5.8,44559.0,94.5,59.9,51.8,5.5
Banning,2810.0,2746.0,2011-2012,2012,97.72241992882562,1600000US0603820,46.4,53.6,5.2,5.4,6.1,6.4,4.1,10.4,9.6,12.6,5.0,5.0,13.5,12.8,3.9,47.0,37.5,47.8,6.7,0.3,6.6,0.1,1.8,38919.0,81.4,49.9,51.1,18.6
Barstow,3416.0,3335.0,2011-2012,2012,97.62880562060889,1600000US0604030,51.1,48.9,10.4,5.5,6.8,9.6,8.3,11.6,14.2,12.9,5.1,5.3,5.4,3.6,1.1,32.9,41.3,34.2,12.6,1.1,1.9,4.3,8.8,44623.0,85.3,55.7,40.7,14.7
Bay Point,836.0,835.0,2011-2012,2012,99.88038277511961,1600000US0604415,51.7,48.3,7.8,9.0,6.9,9.9,6.4,16.5,15.0,13.4,4.6,4.1,4.4,1.5,0.4,31.3,54.5,20.5,12.2,0.1,8.5,0.6,7.2,44966.0,80.3,50.5,35.8,19.7
Beale AFB,178.0,170.0,2011-2012,2012,95.50561797752809,1600000US0604576,55.7,44.3,18.5,13.5,5.2,4.0,14.2,30.7,11.8,1.3,0.0,0.4,0.0,0.0,0.3,24.1,7.1,69.2,7.1,0.0,7.3,0.6,13.8,41917.0,100.0,88.0,12.4,0.0
Beaumont,4727.0,4623.0,2011-2012,2012,97.79987306960017,1600000US0604758,48.5,51.5,10.1,8.2,7.0,7.8,4.8,15.3,15.6,11.2,5.6,4.8,6.4,2.4,0.8,33.2,37.1,45.7,5.3,0.2,9.6,0.0,4.1,67758.0,87.6,72.1,22.6,12.4
