city,enrollment,vaccinated,s_year,vac_pct,geoid
Keyes,329.0,284.0,2012,86.32218844984803,1600000US0638422
King City,2155.0,2147.0,2012,99.62877030162413,1600000US0638520
Kings Beach,159.0,132.0,2012,83.01886792452831,1600000US0638548
Kingsburg,2391.0,2306.0,2012,96.44500209117524,1600000US0638562
Klamath,16.0,15.0,2012,93.75,1600000US0638702
Knights Landing,64.0,60.0,2012,93.75,1600000US0638800
Knightsen,151.0,151.0,2012,100.0,1600000US0638772
La Canada Flintridge,5115.0,5014.0,2012,98.02541544477027,1600000US0639003
La Crescenta-Montrose,6608.0,6477.0,2012,98.01755447941889,1600000US0639045
La Habra,7802.0,7631.0,2012,97.80825429377083,1600000US0639290
La Habra Heights,174.0,144.0,2012,82.75862068965517,1600000US0639304
La Honda,21.0,20.0,2012,95.23809523809523,1600000US0639318
La Mesa,9535.0,9214.0,2012,96.63345568956476,1600000US0640004
La Mirada,4691.0,4607.0,2012,98.20933702835217,1600000US0640032
La Palma,3995.0,3943.0,2012,98.69837296620776,1600000US0640256
La Puente,11706.0,11501.0,2012,98.24876131898172,1600000US0640340
La Quinta,5221.0,5149.0,2012,98.62095384026048,1600000US0640354
La Selva Beach,419.0,407.0,2012,97.13603818615752,1600000US0640508
La Verne,4922.0,4843.0,2012,98.39496139780577,1600000US0640830
Ladera Ranch,1968.0,1798.0,2012,91.36178861788618,1600000US0639114
Lafayette,3895.0,3768.0,2012,96.73940949935815,1600000US0639122
Laguna Beach,2273.0,2062.0,2012,90.71711394632645,1600000US0639178
Laguna Hills,2207.0,2121.0,2012,96.10330765745356,1600000US0639220
Laguna Niguel,2921.0,2637.0,2012,90.27730229373502,1600000US0639248
Laguna Woods,86.0,80.0,2012,93.02325581395348,1600000US0639259
Lake Arrowhead,2057.0,1911.0,2012,92.9022848808945,1600000US0639444
Lake Elsinore,10956.0,10775.0,2012,98.3479372033589,1600000US0639486
Lake Forest,6173.0,5854.0,2012,94.83233435930666,1600000US0639496
Lake Hughes,249.0,233.0,2012,93.57429718875501,1600000US0639556
Lake Isabella,854.0,820.0,2012,96.01873536299766,1600000US0639570
Lake Mathews,10.0,0.0,2012,0.0,1600000US0639645
Lakeport,984.0,915.0,2012,92.98780487804879,1600000US0639710
Lakeside,4196.0,3966.0,2012,94.51858913250715,1600000US0639766
Lakewood,12778.0,12580.0,2012,98.45046173110032,1600000US0639892
Lamont,1347.0,1310.0,2012,97.25315515961395,1600000US0640088
Lancaster,18332.0,17769.0,2012,96.92886755400393,1600000US0640130
Larkspur,2201.0,2146.0,2012,97.50113584734211,1600000US0640438
Las Flores (Orange County),3304.0,3116.0,2012,94.30992736077482,1600000US0640526
Lathrop,2212.0,2208.0,2012,99.81916817359856,1600000US0640704
Laton,422.0,417.0,2012,98.81516587677726,1600000US0640746
