county,enrollment,vaccinated,s_year,vac_pct,geoid
Amador,763.0,720.0,2017,94.36435124508519,0500000US06005
Butte,8576.0,8155.0,2017,95.09095149253731,0500000US06007
Calaveras,908.0,833.0,2017,91.74008810572687,0500000US06009
Colusa,919.0,884.0,2017,96.19151251360174,0500000US06011
Contra Costa,46839.0,45338.0,2017,96.79540553811994,0500000US06013
Del Norte,894.0,813.0,2017,90.93959731543623,0500000US06015
El Dorado,6252.0,6000.0,2017,95.96928982725528,0500000US06017
Fresno,49158.0,47573.0,2017,96.77570283575409,0500000US06019
Glenn,1021.0,979.0,2017,95.88638589618022,0500000US06021
Humboldt,4283.0,3876.0,2017,90.49731496614523,0500000US06023
Imperial,8298.0,8042.0,2017,96.91491925765244,0500000US06025
Inyo,484.0,466.0,2017,96.28099173553719,0500000US06027
Kern,40268.0,38611.0,2017,95.88507003079368,0500000US06029
Kings,6606.0,6400.0,2017,96.88162276718136,0500000US06031
Lake,1945.0,1866.0,2017,95.93830334190231,0500000US06033
Lassen,744.0,675.0,2017,90.7258064516129,0500000US06035
Los Angeles,371231.0,357180.0,2017,96.21502514606807,0500000US06037
Madera,6684.0,6435.0,2017,96.27468581687613,0500000US06039
Marin,10945.0,10455.0,2017,95.5230698949292,0500000US06041
Mariposa,30.0,28.0,2017,93.33333333333333,0500000US06043
Mendocino,3039.0,2820.0,2017,92.79368213228035,0500000US06045
Merced,12429.0,12057.0,2017,97.00699975862901,0500000US06047
Modoc,272.0,235.0,2017,86.39705882352942,0500000US06049
Mono,269.0,257.0,2017,95.53903345724906,0500000US06051
Monterey,16453.0,15936.0,2017,96.85771591806966,0500000US06053
Napa,5025.0,4785.0,2017,95.22388059701493,0500000US06055
Nevada,2409.0,2124.0,2017,88.16936488169364,0500000US06057
Orange,129083.0,124341.0,2017,96.32639464530574,0500000US06059
Placer,15510.0,14633.0,2017,94.34558349451967,0500000US06061
Plumas,357.0,319.0,2017,89.35574229691878,0500000US06063
Riverside,91088.0,88386.0,2017,97.03363780080801,0500000US06065
Sacramento,56372.0,53791.0,2017,95.42148584403604,0500000US06067
San Benito,2373.0,2272.0,2017,95.74378423935947,0500000US06069
San Bernardino,87395.0,84517.0,2017,96.7069054293724,0500000US06071
San Diego,130753.0,125057.0,2017,95.64369459974151,0500000US06073
San Francisco,24397.0,23156.0,2017,94.91330901340329,0500000US06075
