GEO.id,county,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
0500000US06015,Del Norte ,28496,15677,12819,1705,1418,1829,1833,1997,4051,3486,4441,1988,1680,2397,1188,483,38.8,5119,18514,1069,1366,866,139,2798,39626,21601.0,13524.0,11633.0,3492.0,2012
0500000US06017,El Dorado ,180441,90422,90019,9305,11015,12386,12461,9117,17313,22032,31990,14519,13522,15672,7814,3295,43.5,21650,144479,1298,1247,6094,104,11096,70117,160704.0,137364.0,48682.0,18784.0,2012
0500000US06019,Fresno ,930517,464903,465614,79126,75575,74661,79200,76351,133151,114695,114508,48243,40628,50221,29985,14173,30.7,467958,303916,44497,5007,87152,1122,39593,45741,735965.0,453219.0,359925.0,182614.0,2012
0500000US06021,Glenn ,28078,14207,13871,2104,1804,2515,2080,1976,3132,3523,4020,1637,1581,2027,1119,560,36.5,10525,15674,211,572,680,4,789,42641,21934.0,14065.0,11220.0,5780.0,2012
0500000US06023,Humboldt ,134317,67287,67030,7583,7348,7229,9631,12272,19417,15153,18471,10854,8489,9886,5431,2553,37.5,13208,103889,1584,7398,3195,467,9054,40830,107079.0,76008.0,46988.0,25935.0,2012
0500000US06025,Imperial ,173487,89318,84169,13829,13827,13849,14921,13522,23819,22556,22281,9811,6709,9826,6427,2110,31.8,139382,23876,5064,1437,2420,109,2236,41255,127929.0,73384.0,64608.0,35202.0,2012
0500000US06027,Inyo ,18474,9396,9078,1084,957,1134,1099,870,1979,1951,2920,1599,1359,1783,1207,532,45.7,3575,12202,152,1859,264,80,598,45000,15267.0,11273.0,6939.0,2969.0,2012
0500000US06029,Kern ,839153,432484,406669,73121,69199,67818,70911,66229,122108,108594,107498,42953,34624,44074,23742,8282,30.7,412779,323572,44582,5374,33404,917,35819,47727,643207.0,420201.0,290377.0,163266.0,2012
0500000US06031,Kings ,151982,85499,66483,12819,12139,10489,11401,13038,25091,22127,19916,7368,5450,6956,3784,1404,31.2,77382,53890,9978,1229,5395,278,7280,48761,105593.0,73316.0,42848.0,25886.0,2012
0500000US06033,Lake ,64360,32529,31831,3554,3721,3762,4123,3293,6570,7258,9976,5197,5529,6581,3168,1628,44.8,11068,47662,1417,1569,712,97,3544,38147,51422.0,32306.0,28657.0,12279.0,2012
0500000US06035,Lassen ,34628,22681,11947,1575,1278,1792,1904,3263,6389,5458,5406,2247,1825,1984,1170,337,37.4,6108,23029,2852,1073,428,205,1678,51921,21908.0,16672.0,8611.0,2600.0,2012
0500000US06037,Los Angeles ,9840024,4852259,4987765,651662,632456,676243,743187,756110,1487070,1433644,1363713,561403,455981,576609,348727,153219,34.8,4694846,2731605,809858,17371,1343920,23520,413196,56241,7597168.0,5389571.0,2819442.0,2168228.0,2012
0500000US06039,Madera ,150615,72557,78058,12119,11515,11929,11896,10819,20631,19182,19201,8347,7497,10025,5477,1977,33.2,80939,57468,4802,1707,2798,507,4717,47937,112369.0,66210.0,59338.0,30034.0,2012
0500000US06041,Marin ,252759,124430,128329,13849,14995,14646,13039,10296,24594,36465,42156,20996,18949,23538,13037,6199,44.6,38605,184847,6804,398,14306,508,13847,90962,222971.0,197192.0,61728.0,23192.0,2012
0500000US06043,Mariposa ,18193,9130,9063,745,720,1111,896,795,1749,1852,3213,1774,1473,2255,1329,281,49.4,1714,15110,141,435,272,39,964,52584,15669.0,11557.0,7403.0,2409.0,2012
0500000US06045,Mendocino ,87577,43930,43647,5283,5064,5529,5662,5144,10152,10251,12311,7276,6915,7815,4212,1963,41.7,19426,59992,650,3286,1569,165,4791,43721,70382.0,45641.0,35625.0,16256.0,2012
0500000US06047,Merced ,256398,129131,127267,22142,21506,22656,24182,20510,35169,32215,31084,12547,10110,13462,7995,2820,29.7,141027,81483,8857,1085,19035,546,8334,43565,205290.0,126233.0,99978.0,48242.0,2012
0500000US06049,Modoc ,9545,4829,4716,482,462,719,585,453,851,977,1515,861,713,1151,554,222,46.8,1337,7518,129,270,28,0,526,37482,7640.0,5100.0,4130.0,1548.0,2012
0500000US06051,Mono ,14181,7516,6665,875,812,986,775,1056,2118,2086,2168,1004,941,914,307,139,37.1,3747,9674,69,219,111,28,666,61868,11088.0,9107.0,3372.0,2908.0,2012
0500000US06053,Monterey ,416199,214090,202109,33021,31302,28285,32232,32818,62272,54964,53192,22811,20474,23299,14554,6975,32.9,230202,137358,11516,1097,25265,1872,17379,60143,313768.0,231594.0,121208.0,83680.0,2012
0500000US06055,Napa ,136644,68206,68438,8086,8621,8930,9450,8570,16644,17870,19736,9315,8558,10690,6722,3452,39.6,43897,77227,2646,462,9241,416,5235,69571,115393.0,98044.0,35670.0,19127.0,2012
0500000US06057,Nevada ,98521,48924,49597,4371,5026,5530,6116,4603,9149,10550,15725,9376,8622,10832,5934,2687,48.0,8400,85313,300,849,1353,131,4256,57382,83407.0,68522.0,32583.0,14275.0,2012
0500000US06059,Orange ,3021840,1495127,1526713,193834,199596,208315,223503,217265,417039,440647,443053,178193,146123,190359,113465,50448,36.2,1015013,1332316,45438,6676,542857,8823,134805,75566,2487548.0,1989633.0,720158.0,517292.0,2012
0500000US06061,Placer ,350074,170983,179091,20823,23815,24687,24261,18615,38956,47028,53086,23245,21090,29642,17684,7142,40.2,44888,266065,4095,2015,21306,725,21211,73356,315560.0,279202.0,84618.0,32146.0,2012
0500000US06063,Plumas ,19926,10031,9895,902,919,1135,1079,902,1797,2073,3054,2100,1695,2652,1243,375,49.4,1604,16965,253,370,234,172,656,45358,16062.0,12390.0,7559.0,3699.0,2012
0500000US06065,Riverside ,2192982,1091924,1101058,162885,167030,176811,184130,156519,284327,294229,290891,115963,98604,142535,88061,30997,33.7,998113,867580,129961,10616,127477,5947,100884,57096,1734530.0,1263773.0,658990.0,434493.0,2012
0500000US06067,Sacramento ,1422348,696786,725562,100916,97705,100274,103345,103286,208310,191818,199297,85826,70452,85133,52273,23713,34.9,305985,688966,138550,7709,202614,13737,125352,55846,1207326.0,904510.0,447096.0,194999.0,2012
0500000US06069,San Benito ,55467,27693,27774,4075,4320,4649,4572,3613,7085,7542,8167,3310,2612,3139,1701,682,34.1,31300,21094,445,176,1240,0,2273,63939,46229.0,35251.0,15924.0,9000.0,2012
0500000US06071,San Bernardino ,2041029,1015499,1025530,159294,156851,168576,177644,162538,284640,274096,275815,109534,88211,105517,56868,21445,31.7,1005858,677104,169394,7702,126685,6128,91940,54750,1592702.0,1116296.0,605959.0,408678.0,2012
0500000US06073,San Diego ,3100500,1556457,1544043,205350,195795,195217,222528,270586,474450,422022,427908,182201,148263,184357,116749,55074,34.7,992087,1502635,148249,11009,336129,13480,188633,63373,2485380.0,2009611.0,747564.0,511478.0,2012
0500000US06075,San Francisco ,807755,409803,397952,35811,28358,26545,34780,57482,170852,134483,111494,50156,46777,55140,38387,17490,38.5,121628,337443,46293,2044,268548,3422,53576,73802,712738.0,571214.0,210244.0,90771.0,2012
0500000US06077,San Joaquin ,687036,342120,344916,54511,54660,56276,57554,49378,91032,91178,91392,38852,30047,39159,22928,10069,32.6,266808,246851,46941,2939,96169,3382,46781,53895,564165.0,400595.0,223807.0,114008.0,2012
0500000US06079,San Luis Obispo ,270121,138319,131802,13375,13047,14784,22108,28136,31644,29540,39039,19775,17173,21617,13241,6642,39.3,56068,191834,5475,1311,8925,310,11971,59628,223717.0,188096.0,72247.0,37710.0,2012
0500000US06081,San Mateo ,721183,354728,366455,46276,45401,41489,41364,40267,100184,108827,110147,48117,41511,50844,31767,14989,39.3,181328,306464,18910,1021,177813,10448,48239,87751,636799.0,546518.0,164661.0,79102.0,2012
0500000US06083,Santa Barbara ,423594,212662,210932,27600,25982,26300,37860,44513,56486,50385,54554,24295,20747,27083,17865,9924,33.6,180631,203859,7171,2204,19799,767,17814,62723,340502.0,262636.0,122246.0,75355.0,2012
0500000US06085,Santa Clara ,1788393,898013,890380,124697,121462,113656,113977,114059,271796,279838,262675,103527,83498,107718,64532,26958,36.2,478065,629179,42681,4271,572416,6046,107054,90747,1574392.0,1315049.0,402091.0,203337.0,2012
0500000US06087,Santa Cruz ,262340,130813,131527,15020,14789,15374,22208,25592,32659,33112,38295,19820,15783,16196,9026,4466,36.9,83709,156894,2573,689,10483,377,14920,66571,222880.0,179606.0,66991.0,37821.0,2012
0500000US06089,Shasta ,177693,87442,90251,10368,10313,11650,12372,11192,19849,19899,26121,13364,12266,16864,9394,4041,41.9,14994,146440,1563,3688,4599,307,12108,44396,147568.0,101971.0,71098.0,28641.0,2012
0500000US06091,Sierra ,3163,1552,1611,163,131,134,198,65,195,377,532,408,271,412,224,53,51.6,281,2806,36,10,4,18,15,42500,2507.0,1899.0,1091.0,631.0,2012
0500000US06093,Siskiyou ,44673,22262,22411,2389,2634,2486,2770,2191,4227,4560,6705,3881,3911,5057,2782,1080,47.0,4652,35501,541,1206,601,109,4093,37948,37517.0,24739.0,19922.0,6844.0,2012
0500000US06095,Solano ,414209,206891,207318,26806,27833,27966,30174,29410,55306,54558,63308,27407,23885,26557,15051,5948,37.0,99502,168848,57592,1336,60320,3563,44500,69006,347209.0,281317.0,109731.0,47505.0,2012
0500000US06097,Sonoma ,483456,237760,245696,28087,29380,29343,33159,32192,60871,60787,72806,35623,32805,36257,20773,11373,39.8,119747,320460,7063,3482,19265,1344,23288,63565,411768.0,335983.0,133370.0,66793.0,2012
0500000US06099,Stanislaus ,515115,254802,260313,39997,38272,42740,42239,37779,70423,67063,68821,29172,23145,30157,17367,7940,32.8,216009,240545,13250,2834,25918,3290,25612,49866,422307.0,290544.0,175980.0,89254.0,2012
0500000US06101,Sutter ,94615,47074,47541,7107,7578,6730,7243,6570,12638,12053,12573,5094,4888,6705,4094,1342,34.5,27119,47771,1536,786,13147,280,7835,50510,75612.0,51014.0,34171.0,17490.0,2012
0500000US06103,Tehama ,63200,31428,31772,4285,4205,4561,4607,3646,7173,7354,9016,4521,3679,5801,3233,1119,39.6,13885,45453,360,1160,688,57,3179,40307,51377.0,32559.0,28198.0,10972.0,2012
0500000US06105,Trinity ,13693,7015,6678,814,598,761,641,601,1304,1369,2222,1428,1215,1654,664,422,49.2,956,11418,119,166,152,37,1661,36569,10494.0,6392.0,6252.0,2989.0,2012
0500000US06107,Tulare ,441877,221571,220306,41165,37960,40358,38500,32874,61891,54761,52116,22208,17946,23195,13424,5479,29.7,267639,144029,5559,2833,13883,354,14561,43803,340796.0,201400.0,173789.0,96718.0,2012
0500000US06109,Tuolumne ,55205,28964,26241,2427,2674,2606,3234,3023,5939,5892,8656,4856,4483,6317,3589,1509,48.0,5935,44945,1105,807,568,64,3128,48169,45167.0,34112.0,22067.0,6400.0,2012
0500000US06111,Ventura ,822794,408800,413994,55347,57902,58806,63567,56961,105087,111027,122693,50430,43320,52340,31424,13890,36.4,331225,400432,12937,1626,55605,1236,38368,76483,682255.0,553511.0,205592.0,131645.0,2012
0500000US06113,Yolo ,200873,98020,102853,12394,12380,12343,19222,28098,27725,23910,24736,10890,9143,10728,6345,2959,30.5,60939,100254,4748,1117,25323,1016,14488,57260,175627.0,144521.0,48032.0,23728.0,2012
0500000US06115,Yuba ,72244,36580,35664,6171,5715,5717,5418,5433,10694,8740,9452,3853,3750,4158,2349,794,31.9,18193,42230,1975,776,5056,258,7127,46641,59098.0,36745.0,30201.0,10719.0,2012
0500000US06001,Alameda ,1535248,752840,782408,97522,94982,92140,97754,108594,234330,230137,223001,96609,83479,97512,52967,26221,36.8,345847,517764,181315,4484,408556,12230,125705,72112,1331504.0,1069074.0,391370.0,191264.0,2013
