facility_num,county,is_public,city,facility_name,enrollment,n,pct,reported,vac_info_type
7103914.0,Los Angeles,PRIVATE,Pasadena,ST. MONICA ACADEMY,15.0,14.0,93.33333,Y,7thGradeData
6964514.0,Los Angeles,PRIVATE,Pasadena,ST. PHILIP THE APOSTLE,59.0,59.0,100.0,Y,7thGradeData
6964514.0,Los Angeles,PRIVATE,Pasadena,ST. PHILIP THE APOSTLE,62.0,62.0,100.0,Y,7thGradeData
6936199.0,Los Angeles,PRIVATE,Pasadena,VILLA ESPERANZA SERVICES,32.0,28.0,87.5,Y,7thGradeData
7096076.0,Los Angeles,PRIVATE,Pasadena,"WAVERLY SCHOOL, THE",24.0,21.0,87.5,Y,7thGradeData
7096076.0,Los Angeles,PRIVATE,Pasadena,"WAVERLY SCHOOL, THE",20.0,19.0,95.0,Y,7thGradeData
7096076.0,Los Angeles,PRIVATE,Pasadena,"WAVERLY SCHOOL, THE",25.0,22.0,88.0,Y,7thGradeData
7096076.0,Los Angeles,PRIVATE,Pasadena,"WAVERLY SCHOOL, THE",26.0,26.0,100.0,Y,7thGradeData
7096076.0,Los Angeles,PRIVATE,Pasadena,"WAVERLY SCHOOL, THE",23.0,20.0,86.95652,Y,7thGradeData
7096076.0,Los Angeles,PRIVATE,Pasadena,"WAVERLY SCHOOL, THE",27.0,27.0,100.0,Y,7thGradeData
6983258.0,Los Angeles,PRIVATE,Pasadena,WESTMINSTER ACADEMY,14.0,12.0,85.71429,Y,7thGradeData
6936264.0,Los Angeles,PRIVATE,Pasadena,WESTRIDGE SCHOOL FOR GIRLS,60.0,59.0,98.33333,Y,7thGradeData
6936264.0,Los Angeles,PRIVATE,Pasadena,WESTRIDGE SCHOOL FOR GIRLS,50.0,49.0,98.0,Y,7thGradeData
6936264.0,Los Angeles,PRIVATE,Pasadena,WESTRIDGE SCHOOL FOR GIRLS,66.0,63.0,95.45455,Y,7thGradeData
6936264.0,Los Angeles,PRIVATE,Pasadena,WESTRIDGE SCHOOL FOR GIRLS,75.0,75.0,100.0,Y,7thGradeData
6936264.0,Los Angeles,PRIVATE,Pasadena,WESTRIDGE SCHOOL FOR GIRLS,67.0,66.0,98.50746,Y,7thGradeData
6936264.0,Los Angeles,PRIVATE,Pasadena,WESTRIDGE SCHOOL FOR GIRLS,71.0,71.0,100.0,Y,7thGradeData
7069792.0,Los Angeles,PRIVATE,Pearblossom,"PEARBLOSSOM PRIVATE SCHOOL, INC.",14.0,5.0,35.71429000000001,Y,7thGradeData
6934202.0,Los Angeles,PRIVATE,Pico Rivera,ARMENIAN MESROBIAN,10.0,10.0,100.0,Y,7thGradeData
6934202.0,Los Angeles,PRIVATE,Pico Rivera,ARMENIAN MESROBIAN,15.0,15.0,100.0,Y,7thGradeData
6934202.0,Los Angeles,PRIVATE,Pico Rivera,ARMENIAN MESROBIAN,10.0,10.0,100.0,Y,7thGradeData
6934202.0,Los Angeles,PRIVATE,Pico Rivera,ARMENIAN MESROBIAN,10.0,10.0,100.0,Y,7thGradeData
6963920.0,Los Angeles,PRIVATE,Pico Rivera,ST. HILARY ELEMENTARY,32.0,32.0,100.0,Y,7thGradeData
6963920.0,Los Angeles,PRIVATE,Pico Rivera,ST. HILARY ELEMENTARY,28.0,28.0,100.0,Y,7thGradeData
6964258.0,Los Angeles,PRIVATE,Pico Rivera,ST. MARIANNE DE PAREDES ELEMENTARY,24.0,24.0,100.0,Y,7thGradeData
6964258.0,Los Angeles,PRIVATE,Pico Rivera,ST. MARIANNE DE PAREDES ELEMENTARY,26.0,26.0,100.0,Y,7thGradeData
6935886.0,Los Angeles,PRIVATE,Los Angeles,ST. BERNARD HIGH SCHOOL,106.0,104.0,98.11321,Y,7thGradeData
6935886.0,Los Angeles,PRIVATE,Los Angeles,ST. BERNARD HIGH SCHOOL,103.0,103.0,100.0,Y,7thGradeData
6935886.0,Los Angeles,PRIVATE,Los Angeles,ST. BERNARD HIGH SCHOOL,69.0,69.0,100.0,Y,7thGradeData
6935886.0,Los Angeles,PRIVATE,Los Angeles,ST. BERNARD HIGH SCHOOL,79.0,79.0,100.0,Y,7thGradeData
7087141.0,Los Angeles,PRIVATE,Pomona,CITY OF KNOWLEDGE,19.0,19.0,100.0,Y,7thGradeData
7087141.0,Los Angeles,PRIVATE,Pomona,CITY OF KNOWLEDGE,16.0,15.0,93.75,Y,7thGradeData
7087141.0,Los Angeles,PRIVATE,Pomona,CITY OF KNOWLEDGE,22.0,20.0,90.90909,Y,7thGradeData
7087141.0,Los Angeles,PRIVATE,Pomona,CITY OF KNOWLEDGE,15.0,13.0,86.66667,Y,7thGradeData
7087141.0,Los Angeles,PRIVATE,Pomona,CITY OF KNOWLEDGE,14.0,13.0,92.85714,Y,7thGradeData
7087141.0,Los Angeles,PRIVATE,Pomona,CITY OF KNOWLEDGE,11.0,10.0,90.90909,Y,7thGradeData
6935597.0,Los Angeles,PRIVATE,Pomona,POMONA CATHOLIC GIRLS HIGH,33.0,33.0,100.0,Y,7thGradeData
6935597.0,Los Angeles,PRIVATE,Pomona,POMONA CATHOLIC GIRLS HIGH,20.0,20.0,100.0,Y,7thGradeData
6935597.0,Los Angeles,PRIVATE,Pomona,POMONA CATHOLIC GIRLS HIGH,66.0,66.0,100.0,Y,7thGradeData
6935597.0,Los Angeles,PRIVATE,Pomona,POMONA CATHOLIC GIRLS HIGH,74.0,72.0,97.2973,Y,7thGradeData
6935597.0,Los Angeles,PRIVATE,Pomona,POMONA CATHOLIC GIRLS HIGH,61.0,61.0,100.0,Y,7thGradeData
6935597.0,Los Angeles,PRIVATE,Pomona,POMONA CATHOLIC GIRLS HIGH,58.0,58.0,100.0,Y,7thGradeData
6964118.0,Los Angeles,PRIVATE,Pomona,ST. JOSEPH ELEMENTARY SCHOOL,19.0,19.0,100.0,Y,7thGradeData
6964118.0,Los Angeles,PRIVATE,Pomona,ST. JOSEPH ELEMENTARY SCHOOL,30.0,30.0,100.0,Y,7thGradeData
6960942.0,Los Angeles,PRIVATE,Rancho Palos Verdes,CHRIST LUTHERAN CHURCH AND SCHOOL,17.0,17.0,100.0,Y,7thGradeData
6960942.0,Los Angeles,PRIVATE,Rancho Palos Verdes,CHRIST LUTHERAN CHURCH AND SCHOOL,20.0,20.0,100.0,Y,7thGradeData
6964035.0,Los Angeles,PRIVATE,Rancho Palos Verdes,ST. JOHN FISHER ELEMENTARY,32.0,31.0,96.875,Y,7thGradeData
6964035.0,Los Angeles,PRIVATE,Rancho Palos Verdes,ST. JOHN FISHER ELEMENTARY,27.0,27.0,100.0,Y,7thGradeData
7017650.0,Los Angeles,PRIVATE,Redondo Beach,COAST CHRISTIAN SCHOOLS,11.0,11.0,100.0,Y,7thGradeData
6968101.0,Los Angeles,PRIVATE,Redondo Beach,RIVIERA HALL LUTHERAN,26.0,26.0,100.0,Y,7thGradeData
6968101.0,Los Angeles,PRIVATE,Redondo Beach,RIVIERA HALL LUTHERAN,17.0,17.0,100.0,Y,7thGradeData
6960397.0,Los Angeles,PRIVATE,Redondo Beach,SOUTH BAY FAITH ACADEMY,36.0,26.0,72.22222,Y,7thGradeData
6960397.0,Los Angeles,PRIVATE,Redondo Beach,SOUTH BAY FAITH ACADEMY,42.0,35.0,83.33333,Y,7thGradeData
6960397.0,Los Angeles,PRIVATE,Redondo Beach,SOUTH BAY FAITH ACADEMY,45.0,34.0,75.55556,Y,7thGradeData
6960397.0,Los Angeles,PRIVATE,Redondo Beach,SOUTH BAY FAITH ACADEMY,41.0,30.0,73.17073,Y,7thGradeData
6960397.0,Los Angeles,PRIVATE,Redondo Beach,SOUTH BAY FAITH ACADEMY,49.0,39.0,79.59184,Y,7thGradeData
6960397.0,Los Angeles,PRIVATE,Redondo Beach,SOUTH BAY FAITH ACADEMY,42.0,33.0,78.57143,Y,7thGradeData
6964142.0,Los Angeles,PRIVATE,Redondo Beach,ST. LAWRENCE MARTYR ELEMENTARY,36.0,36.0,100.0,Y,7thGradeData
6964142.0,Los Angeles,PRIVATE,Redondo Beach,ST. LAWRENCE MARTYR ELEMENTARY,30.0,30.0,100.0,Y,7thGradeData
6963599.0,Los Angeles,PRIVATE,Los Angeles,ST. CATHERINE OF SIENA,27.0,27.0,100.0,Y,7thGradeData
6963599.0,Los Angeles,PRIVATE,Los Angeles,ST. CATHERINE OF SIENA,18.0,18.0,100.0,Y,7thGradeData
6968119.0,Los Angeles,PRIVATE,Rolling Hills Estates,ROLLING HILLS COUNTRY DAY SCHOOL,39.0,37.0,94.87179,Y,7thGradeData
